name,date,star,comment,comment_prep,sentiment
Vivi Shin,18 Desember 2024,2,"Permainan sangat tidak adil. Hampir 10x saya losestreak, padahal mmr sudah tinggi tapi jatuh gara2 rekan 1 tim selalu ada yang feeder, sedangkan musuh bisa main semua. Sejago2nya saya, 4 vs 5 itu berat. Mengapa anda menyelenggarakan match dengan akun hasil joki? Kenapa feeder tidak ditemukan dengan musuh feeder juga? Harusnya algoritma seperti ini bisa diselesaikan dengan kalkulasi pertandingan. MVP kalah untuk apa? Sedangkan temen saya yang tidak terlalu jago selalu dapat tim yang bisa gendong.",permainan adil 10x losestreak mmr jatuh gara2 rekan 1 tim feeder musuh main sejago2nya 4 vs 5 berat menyelenggarakan match akun hasil joki feeder ditemukan musuh feeder algoritma diselesaikan kalkulasi pertandingan mvp kalah temen jago tim gendong,negatif
Tutup Panci,17 Desember 2024,1,Pennyimpanan hasil bermain kembalikan seperti awal lagi dong. Yang dimanah setelah main bisa disimpan di memory. Gak kaya sekarang ribet. Udah makin besar updatenya. Mau simpan harus download makan waktu. Kembalikan ke awal pennyimpanan hasil pertandingan yg tinggal 2x pencet hitungan detik selesay,pennyimpanan hasil bermain kembalikan dimanah main disimpan memory gak kaya ribet udah updatenya simpan download makan kembalikan pennyimpanan hasil pertandingan yg tinggal 2x pencet hitungan detik selesay,netral
OʜᎷʏVɪʀϋꕶ,16 Desember 2024,1,"Semakin hari bukannya semakin baik , tapi malah makin buruk.. Khususnya masalah ""Koneksi"" ,, jaringan saya bagus , tapi in game selalu lag dan mengatakan koneksi terputus,lol.. Perbaiki kestabilan koneksi game , bukan memperbanyak Skin apalagi Hero baru.. Sekelas M-Series aja masih delay,,",buruk .. koneksi jaringan bagus in game lag koneksi terputus lol .. perbaiki kestabilan koneksi game memperbanyak skin hero .. sekelas m series aja delay,negatif
mimichan official,18 Desember 2024,5,"tolong benerin bug nya lah moonton, masa iya baru loading screen ke login ulang sendiri? terus jadinya ga bisa main, tolong lah moonton gara gara itu juga kredit skor player berkurang karna pastinya afk karna bug itu, tolong lah moonton jangan skin doang elit tapi bug nya ga pernah di benerin.",tolong benerin bug nya moonton iya loading screen login ulang ga main tolong moonton gara gara kredit skor player berkurang karna pastinya afk karna bug tolong moonton skin doang elit bug nya ga benerin,negatif
zilda putri,17 Desember 2024,3,"game nya bagus, cuma jaringan ny suka ngeleg"" sendiri padahal kalo dipake yang lain mah lancar"" aj. Kadang ketemu musuh jago tim jelek, musuh jelek timnya juga jelek. Banyak bgt yg feeder, troll, pokonya ngeselin dh. Tdi main 1 match jaringan suka ngeleg, krna gakuat main jdi gw afk.",game nya bagus jaringan ny suka ngeleg kalo dipake mah lancar aj kadang ketemu musuh jago tim jelek musuh jelek timnya jelek bgt yg feeder troll pokonya ngeselin dh tdi main 1 match jaringan suka ngeleg krna gakuat main jdi gw afk,negatif
Arya Ardiansyah,18 Desember 2024,1,Gamenya bagus tapi kenapa Download-annya suka ke ulang sendiri ya?. Padahal udah ke Download semua tapi pas login suka ke Download ulang jadi 85% ataupun berapa lah. Kan aneh ngedownload lagi ngedownload lagi. Itu bug ngeselin parah sih dan harus di fix secepatnya!!!.,gamenya bagus download annya suka ulang ya udah download pas login suka download ulang 85 aneh ngedownload ngedownload bug ngeselin parah sih fix secepatnya,negatif
Asep Show,18 Desember 2024,1,"Gua suka dengan semua nya tapi kembalikan mode offline yang dulu karena sekarang gak bisa pake skin yang kita punya.sayang skin nya beli pake duit tapi gak bisa di pake,kadang juga mode offline buat belajar hero dan gak pake kuota/wifi.di tunggu ya moonton",gua suka nya kembalikan mode offline gak pake skin punya.sayang skin nya beli pake duit gak pake kadang mode offline belajar hero gak pake kuota wifi.di tunggu ya moonton,positif
Eko Supriyanto,18 Desember 2024,1,"kalo ngasih tim tu yg wajar lah masak ngasih tim yg ngetrol, dari sistem adanya kalo ngasih musuh yg ngotak dikit lah masak di kasih musuh glory imortal sementara saya lagi mitik jadi saya kalah terus padahal saya hanya ingin mencari kesenangan jadi tolong capek lo saya main tapi kalah trs capek iya ad hasil nggak jadi tolong perbaikannya.",kalo ngasih tim tu yg wajar masak ngasih tim yg ngetrol sistem kalo ngasih musuh yg ngotak dikit masak kasih musuh glory imortal mitik kalah mencari kesenangan tolong capek lo main kalah trs capek iya ad hasil nggak tolong perbaikannya,negatif
Shikigami,17 Desember 2024,1,Saya hanya berharap kalo di mode offline boleh make skin dong... Masa di kunci... Padahal dulu enggak...masa iya lagi main tiba tiba ke restart game nya game rusak...game ini juga kok makin lama makin gak enak...lagi download resource ditambahin kayak skin yang belum dimiliki padahal gak mau download itu mana gak bisa dibatalkan lagi...gua mau download efek skin contoh skin Selena luckybox gua download yang keliatan cuma entrance nya efek dalam pertandingan enggak..plis balikin ml seperti dulu😞,berharap kalo mode offline make skin ... kunci ... ... iya main restart game nya game rusak ... game gak enak ... download resource ditambahin kayak skin dimiliki gak download gak dibatalkan ... gua download efek skin contoh skin selena luckybox gua download keliatan entrance nya efek pertandingan .. plis balikin ml,negatif
Rina Jayusman,18 Desember 2024,3,"Ping gajelas bener, saya main sambil diem, waktu tim fight ping tinggi tapi waktu menunggu hidup ping stabil, jaringan stabil untuk streaming youtube fhd aja stabil, ini masalah masih gak improve? Udah lama masih aja gak bisa di benerin, benerin dulu bug baru adain event baru kayak update sekarang, animasi masih kaku bukanya di optimalin malah ngeluarin event baru/gameplay baru yang pasti ada bug nya.",ping gajelas bener main diem tim fight ping menunggu hidup ping stabil jaringan stabil streaming youtube fhd aja stabil gak improve udah aja gak benerin benerin bug adain event kayak update animasi kaku bukanya optimalin ngeluarin event gameplay bug nya,negatif
