name,date,star,comment,comment_prep
Dejan Putra,12 Januari 2025,4,"Tolong perbaiki match makingnya, kalau bisa sesuaikan dengan kemampuan setiap player, soalnya capek ada dark system di setiap match. Terus masalah jaringan, tolong dibuat lebih stabil lagi soalnya pas lagi war malah lag itu gaenak, padahal jaringan bagus-bagus aja. Mohon perbaikannya yaa.",tolong perbaiki match makingnya sesuaikan kemampuan player capek dark system match jaringan tolong stabil pas war lag gaenak jaringan bagus bagus mohon perbaikannya yaa
Yudd48,13 Januari 2025,2,"Semoga kedepannya lebih baik lagi dah! Terutama untuk sistem matchmaking aja, klo bisa yang seimbang gitu lah tim sama musuhnya, masa tim sendiri bego"" sedangkan musuh jago"" kan gak adil?! Bukan hanya main ranked, main normal aja pasti selalu ketemu yang begituan. Ayolah! Buat ini game untuk kedepannya lebih bagus lagi!!!",semoga kedepannya dah sistem matchmaking klo seimbang gitu tim musuhnya tim bego musuh jago adil main ranked main normal ketemu begituan ayolah game kedepannya bagus
Stevan Fardeline,10 Januari 2025,5,"Tolong buat matchnya di imbangi ya, jangan pilih kasih.. Kadang musuh damagenya ga ngotak, padahal baru di menit awal, tapi rasanya kayak udah full item. Sakitnya bukan maen.. Tolong yg pake cheat di banned aja seumur hidup,supya kami yg player juju bisa main dengan santai..",tolong matchnya imbangi pilih .. kadang musuh damagenya ngotak menit kayak udah full item sakitnya maen .. tolong pake cheat banned seumur hidup supya player juju main santai ..
Samsung Samsung,10 Januari 2025,1,"Diupdate bukannya bagus malah rusak, kontrol malah aneh, didepan musuh darah tinggal dikit malah ke minion, padahal jarak musuh deket ketimbang minion. Apalagi sudah di setting""paling darah rendah"" tetap aja masih kayak gitu, anehkan, HOK.",diupdate bagus rusak kontrol aneh didepan musuh darah tinggal dikit minion jarak musuh deket ketimbang minion setting darah rendah kayak gitu anehkan hok
Olle Beban,10 Januari 2025,2,"Banyak sekali Cheater kebelakangan ini, mereka tidak bisa di kill, seakan2 mereka abadi, banyak sekali memakai map hacker, jdi bisa ngeliat posisi kita. Kurangi lagi dan di kompres ukuran Game nya dan Pack di dalam game, soalnya banyak memakan penyimpanan, kurangi lagi player yang di sebut ""Dark Sistem"" itu, karena sangat mengganggu permainan, mereka tidak bisa bekerja sama, malah bermain sendirian",cheater kebelakangan kill seakan2 abadi memakai map hacker jdi ngeliat posisi kurangi kompres ukuran game pack game memakan penyimpanan kurangi player dark sistem mengganggu permainan bermain
Muhammad_ Ardianto17,13 Januari 2025,1,"Capek dapat tim yang notabene penghancur tim, cobalah sedikit di normalisasi kan pemain Indonesia jangan dengan tim luar, susah kalo kita lagi main untuk komunikasi nya.. apalagi jika dapat pemain dibawah usia.. banyak juga pemain dengan menggunakan hero yang pertama kali alias belajar di mode rank, alhasil terdapat kecacatan di tim",capek tim notabene penghancur tim cobalah normalisasi pemain indonesia tim susah kalo main komunikasi .. pemain dibawah usia .. pemain hero kali alias belajar mode rank alhasil kecacatan tim
SMIRK,9 Januari 2025,1,"Untuk setiap eventnya sih bagus, Tapi bintang satu dulu soalnya pencocokan tim match nya buruk tidak sesuai atau tidak seimbang dan lebih aneh lagi sering mendapat tim yang pemula atau pemain baru, bintang lima kalo sudah diperbaiki",eventnya sih bagus bintang pencocokan tim match buruk sesuai seimbang aneh tim pemula pemain bintang kalo diperbaiki
Michael Cendana,12 Januari 2025,2,Sistem matching yang sangat tidak adill selalu 70% mendapatkan tim beban g berguna sedangkan musuh yang kuat sekali!!! Tolong di perbaiki dan game tolong kecilkan ukuran penyimpanan game ini!!! GAME KAACAUUUUUU!!!!,sistem matching adill 70 tim beban g berguna musuh kuat tolong perbaiki game tolong kecilkan ukuran penyimpanan game game kaacauuuuuu
Zaki zakia Zaki,11 Januari 2025,2,"Setelah di update kok koneksi nya jadi buruk sekali padahal sudah nyalain wifi dan data seluler bersamaan malah tambah lag apalagi pas war besar besaran malah lag nya minta ampun nga bisa gerak, aneh banget ini game tolong lah Tencent jangan hanya update event terus terusan perbaiki juga masalah koneksi nya. Dan satu lagi masalah matching nya yang sangat berat sebelah masa rank epic ketemu master mana cuma di tim ku lagi malah tim musuh ada yang legend, ini benar benar tidak adil sama sekali,",update koneksi buruk nyalain wifi data seluler bersamaan lag pas war besaran lag ampun nga gerak aneh banget game tolong tencent update event terusan perbaiki koneksi matching berat sebelah rank epic ketemu master tim ku tim musuh adil
Zenrays Stars,9 Januari 2025,4,"Min update grafis dong untuk Samsung A73 karena cuma mentok di 60fps, soalnya digame lain udah support untuk 120fps tapi ini mentok di60fps. Terus masalah sinyal juga tiba² dri 20ms ke 322,344ms masih selalu terjadi untuk jaringan aman, mohon disegera..",min update grafis samsung a73 mentok 60fps digame udah support 120fps mentok di60fps sinyal tiba² dri 20ms 322 344ms jaringan aman mohon disegera ..
Terestris Cold,10 Januari 2025,1,"Game udh oke kyk game moba lain, tapi tolong untuk movement pada setiap hero kaku, skill² nya juga kyk delay, bukan untuk 1 atau 2 hero, tapi semua hero. Dan bbrp tampilan hero terasa old bgt, jd terasa gk hd, coba aja bandingin sama hero² terbaru dr movement sampai tampilan semuanya terlihat smooth dan hd. Jd tolong untuk developer untuk merevamp design² hero yg udah ketinggalan jaman. Terakhir untuk stabilitas bbrp hero tidak seimbang, jd tolong agar semua hero dibuat balence.",game udh oke kyk game moba tolong movement hero kaku skill² kyk delay 1 2 hero hero bbrp tampilan hero old bgt jd hd coba bandingin hero² terbaru dr movement tampilan smooth hd jd tolong developer merevamp design² hero udah ketinggalan jaman stabilitas bbrp hero seimbang jd tolong hero balence
Muhammad Ilham Khairul Nanda,9 Januari 2025,5,"untuk secara keseluruhan game HOK enak, terkadang ada masalah sedikit untuk match making yang sering ketemu player yang bisa main dan tidak tapi juga game yang kompetitif diperlukan kerjasama tim agar bisa memenangkan rank dan tolong perbaiki sedikit untuk match making tersebut. terimakasih",game hok enak terkadang match making ketemu player main game kompetitif kerjasama tim memenangkan rank tolong perbaiki match making terimakasih
Awan Fadjri,14 Januari 2025,1,"Perfect Game .......... -10/10 Aspek mana? Ping naik turun, tidak stabil. Button didalam game terkadang tidak bisa ditekan. Di rank Diamond masih sangat banyak yang AFK dan Feeder, sudah pergantian seasons dan masih tetap saja tidak ada yang berubah. Saya tau ini tidak akan di fix, tapi ya sudahlah. Thanks to you for asking me...",perfect game .......... 10 10 aspek ping turun stabil button didalam game terkadang ditekan rank diamond afk feeder pergantian seasons berubah tau fix thanks to you for asking me ...
Muhib Al Hadits (I Can't stop twinkling),11 Januari 2025,4,"Setelah update terdapat banyak peningkatan seperti update grafis ultra untuk device low end, tetapi terdapat banyak drop fps bahkan dengan device saya yang mampu 80-90fps di settingan HDR pun sering mengalami drop fps hingga ke 25-30fps.mohon di perbaiki. Hal ini sangat mengganggu",update peningkatan update grafis ultra device low end drop fps device 80 90fps settingan hdr mengalami drop fps 25 30fps.mohon perbaiki mengganggu
Euis Komariah,9 Januari 2025,5,"overall baguss, dari segi event, server dan lainnya. Cuma untuk matchmaking tolong disesuaikan lagi masa udh di tier diamond tapi mainnya pada gk bener semua. mainnya pada suka-suka. tolong banget diperbaiki lagi sistem matchmakingnya",overall baguss segi event server matchmaking tolong disesuaikan udh tier diamond mainnya bener mainnya suka suka tolong banget diperbaiki sistem matchmakingnya
