name,date,star,comment,comment_prep
Athaya Khumaira,27 November 2024,1,"dear moonton, kenapa sering terjadi force close dan ngefreez ya. udah instal ulang berkali² tetep aja. sinyal bagus hp masih oke tapi masih aja sering terjadi",dear moonton force close ngefreez udah instal ulang berkali² tetep sinyal bagus hp oke
Wafiq Maharani,10 Desember 2024,3,"moonton, kenapa ya? padahal wifi nya bagus² aja dan tidak eror, tp ping di ml nya malahan merah, pas udah di keluarin dari aplikasi nya, dan login kembali malahan ga bisa, kira² kenapa ya? mohon di jawab moonton 🙏🏽",moonton wifi bagus² eror tp ping merah pas udah keluarin aplikasi login kira² mohon moonton
Kadek Indrawati,27 Desember 2024,1,Maaaf ya saya kasih bintang satu karena di game ini kebanyakan tim yang ngetroll dan ketika saya main kok saya dapet coklat padahal kill banyak dan saya mati sedikit .,maaaf bintang game kebanyakan tim ngetroll main dapet coklat kill mati
Nur Yasin,8 November 2024,2,Matchmaking tidak seimbang apalah ping sering error padahal udh bener sinyal hijau pliss lah moonton buat game ini kyk dulu lagi malah sekarang makin banyak bug,matchmaking seimbang apalah ping error udh bener sinyal hijau pliss moonton game kyk bug
Faisal Hidayatullah,18 Desember 2024,2,"1 bintang untuk hero player berbicara malas, 1 haro untuk bermain magic chess player lain sampai 5 hero bintang 3 sedangkan gua kaga ada, 1 bintang karena game nya koplak gua ulti di depan yang darahnya sekarat, sudah ada arahan tapi yang kena ulti malah yang belakang yang darahnya banyak akhirnya yang banyak darahnya bekurang sedikit yang sekarat nyerah nambah darahnya gua yang mati",1 bintang hero player berbicara malas 1 haro bermain magic chess player 5 hero bintang 3 gua kaga 1 bintang game koplak gua ulti darahnya sekarat arahan kena ulti darahnya darahnya bekurang sekarat nyerah nambah darahnya gua mati
Dinaar 2k17,11 Desember 2024,1,"Sungguh sampah, bermain solo ketemu dark sistem sampai lose streak belasan, game sampah, perbaiki solo mode",sungguh sampah bermain solo ketemu dark sistem lose streak belasan game sampah perbaiki solo mode
Ahmad Fahreza,20 November 2024,1,"Apalah, tim gw dikasih player player dongo, gabisa main, kalo main sering mati, musuhnya gak ngotak, gak seimbang jir, tolong lah muntun perbaiki lah sistem matchmakingnya",apalah tim gw dikasih player player dongo gabisa main kalo main mati musuhnya ngotak seimbang jir tolong muntun perbaiki sistem matchmakingnya
Abdillah Muhammad Latief,14 Desember 2024,1,"Kalo ngasih musuh dan tim yang bener lah kocak,main cuma buat kalah menang kalah menang.gimana bintang bisa naik moonton.dan kalo mau ngasih tim dan musuh yang seimbang lah,jangan tim dikasih yang bot,dan musuh dikasih yang rank tinggi.haduhhhhh,bikin gila main game ini",kalo ngasih musuh tim bener kocak main kalah menang kalah menang.gimana bintang moonton.dan kalo ngasih tim musuh seimbang tim dikasih bot musuh dikasih rank tinggi.haduhhhhh bikin gila main game
Yemima R. Putri,17 Desember 2024,5,"Sumpah keren banget gamenya seru juga tapi kadang lag, apalagi setelah update banyak bug. Bahkan di dalam pertandingan pun freeze.",sumpah keren banget gamenya seru kadang lag update bug pertandingan freeze
Rayana11 Syabilla,19 November 2024,5,Seru banget mohon dari moonton game nya seru banget tapi mohon maaf mb nya jangan terlalu banyak padahal aku fans banget sama moonton terus setelah update malah tiba tiba bug hp ku tapi aku suka kok jadi dari moonton terima kasih sudah bikin ^_^ terimakasih ya atas moonton.. seruuuuu,seru banget mohon moonton game seru banget mohon maaf mb fans banget moonton update bug hp ku suka moonton bikin terimakasih moonton .. seruuuuu
Elsa Agustin,11 Desember 2024,5,"Sangat bagus game nya, meskipun stres naikin rank nya,jdi moonton tolong harga skin nya jgn terlalu mahal, hehehehe",bagus game stres naikin rank jdi moonton tolong harga skin jgn mahal hehehehe
Mikey Sano,31 Oktober 2024,1,"Game nya nge bug mulu,, maaf bukannya menjelek2an ya,, tapi itu yg saya alami sekarang,, emang seru,, tapi pas lagi main kadang sering keluar sendiri kadang layar lang sung hitam,, pokonyaada aja gitu,, Mohon di perbaiki oleh pihaknya,, kalo gini terus ya auto pindah game ,, HONOR OF KING😅",game nge bug mulu maaf menjelek2an alami emang seru pas main kadang kadang layar lang sung hitam pokonyaada gitu mohon perbaiki kalo gini auto pindah game
Fikri Nursetiadi,2 Desember 2024,1,"Banyak yg dark sistem. Banyak yg feed, mondar-mandir di base, moonton tolong diban player troll/feed. Moonton punya ketegasan ngga? Ngapain pertahanin player ngga sehat kya gitu .",dark sistem feed mondar mandir base moonton tolong diban player troll feed moonton ketegasan ngga ngapain pertahanin player ngga sehat kya gitu
