name,date,star,comment
Athaya Khumaira,27 November 2024,1,"dear moonton, kenapa sering terjadi force close dan ngefreez ya. udah instal ulang berkali² tetep aja. sinyal bagus hp masih oke tapi masih aja sering terjadi"
Wafiq Maharani,10 Desember 2024,3,"moonton, kenapa ya? padahal wifi nya bagus² aja dan tidak eror, tp ping di ml nya malahan merah, pas udah di keluarin dari aplikasi nya, dan login kembali malahan ga bisa, kira² kenapa ya? mohon di jawab moonton 🙏🏽"
Kadek Indrawati,27 Desember 2024,1,Maaaf ya saya kasih bintang satu karena di game ini kebanyakan tim yang ngetroll dan ketika saya main kok saya dapet coklat padahal kill banyak dan saya mati sedikit .
Nur Yasin,8 November 2024,2,Matchmaking tidak seimbang apalah ping sering error padahal udh bener sinyal hijau pliss lah moonton buat game ini kyk dulu lagi malah sekarang makin banyak bug
Faisal Hidayatullah,18 Desember 2024,2,"1 bintang untuk hero player berbicara malas, 1 haro untuk bermain magic chess player lain sampai 5 hero bintang 3 sedangkan gua kaga ada, 1 bintang karena game nya koplak gua ulti di depan yang darahnya sekarat, sudah ada arahan tapi yang kena ulti malah yang belakang yang darahnya banyak akhirnya yang banyak darahnya bekurang sedikit yang sekarat nyerah nambah darahnya gua yang mati"
Dinaar 2k17,11 Desember 2024,1,"Sungguh sampah, bermain solo ketemu dark sistem sampai lose streak belasan, game sampah, perbaiki solo mode"
Ahmad Fahreza,20 November 2024,1,"Apalah, tim gw dikasih player player dongo, gabisa main, kalo main sering mati, musuhnya gak ngotak, gak seimbang jir, tolong lah muntun perbaiki lah sistem matchmakingnya"
Abdillah Muhammad Latief,14 Desember 2024,1,"Kalo ngasih musuh dan tim yang bener lah kocak,main cuma buat kalah menang kalah menang.gimana bintang bisa naik moonton.dan kalo mau ngasih tim dan musuh yang seimbang lah,jangan tim dikasih yang bot,dan musuh dikasih yang rank tinggi.haduhhhhh,bikin gila main game ini"
Yemima R. Putri,17 Desember 2024,5,"Sumpah keren banget gamenya seru juga tapi kadang lag, apalagi setelah update banyak bug. Bahkan di dalam pertandingan pun freeze."
Rayana11 Syabilla,19 November 2024,5,Seru banget mohon dari moonton game nya seru banget tapi mohon maaf mb nya jangan terlalu banyak padahal aku fans banget sama moonton terus setelah update malah tiba tiba bug hp ku tapi aku suka kok jadi dari moonton terima kasih sudah bikin ^_^ terimakasih ya atas moonton.. seruuuuu
Elsa Agustin,11 Desember 2024,5,"Sangat bagus game nya, meskipun stres naikin rank nya,jdi moonton tolong harga skin nya jgn terlalu mahal, hehehehe"
Mikey Sano,31 Oktober 2024,1,"Game nya nge bug mulu,, maaf bukannya menjelek2an ya,, tapi itu yg saya alami sekarang,, emang seru,, tapi pas lagi main kadang sering keluar sendiri kadang layar lang sung hitam,, pokonyaada aja gitu,, Mohon di perbaiki oleh pihaknya,, kalo gini terus ya auto pindah game ,, HONOR OF KING😅"
Fikri Nursetiadi,2 Desember 2024,1,"Banyak yg dark sistem. Banyak yg feed, mondar-mandir di base, moonton tolong diban player troll/feed. Moonton punya ketegasan ngga? Ngapain pertahanin player ngga sehat kya gitu ."
Robet Sihotang,5 November 2024,1,"Untuk developer,.. tolong itu sistem reportnya diperbaiki,.. masa iya saya direport karna ngomong kasar padahal selama pertandingan gak ada ngetik apa"" dan anehnya lagi kalo saya ngereport orang lain itu karna nge-feed selama pertandingan respon malah gak ada apa"" katanya, aneh ini sistem reportnya,.. kalo gak mau playernya berkurang perbaikilah, jangan cuman nambah Hero doang tau-nya atau berdagang, diperbaiki dululah semua kesalahannya..."
Ramadhan,21 November 2024,5,Game nya sangat bagus tapi banyak bug kayak gerak sendiri dll tolong ya Moonton bug nya tolong hilangin biar rating lebih banyak Dan jadi game paling populer nomer 1
